trace_id,timestamp,domain,latency_ms,is_error
158c5cc05e282d0323fbed603d9819ae,2026-08-25T02:02:00.109652+00:00,api_generic,46.65,False
4e341e795fdf31b241fb87f01eeca1d8,2026-08-25T02:02:00.107846+00:00,site_latency,86.74,False
b64c32f5283193b1a4e4be26742ac512,2026-08-25T02:02:00.121749+00:00,site_latency,102.89,False
85f9aeb358a4c4b45fa030f5c750fd37,2026-08-25T02:02:00.119759+00:00,api_generic,119.84,False
f1af533a191d96852131458e38dc6cd5,2026-08-25T02:02:00.117766+00:00,pix,129.29,False
e19f1c729cd0aa6ee47413864a1103f0,2026-08-25T02:02:00.273667+00:00,api_generic,35.65,False
f8384163a4adbae4a69e9706f3df2fd4,2026-08-25T02:02:00.232381+00:00,site_latency,113.79,False
d0055539794372cabcc780218daad875,2026-08-25T02:02:00.242740+00:00,checkout,123.89,False
c317c9ef4fe2abed0121b7a9c9396e45,2026-08-25T02:02:00.110803+00:00,checkout,279.83,False
ddfa10ca234482067888ea49c6f37924,2026-08-25T02:02:00.317469+00:00,site_latency,167.44,False
c6be587d699c2043e3a3193a8b05084f,2026-08-25T02:02:00.114815+00:00,site_latency,377.09,False
792ff2cc35b9522b2bd0e87cf889a7fb,2026-08-25T02:02:00.112503+00:00,site_latency,379.75,False
6272e80dd151995d17635dd212493a54,2026-08-25T02:02:00.118207+00:00,checkout,418.34,False
834f186820a79b6372055ec793c1960e,2026-08-25T02:02:00.179901+00:00,checkout,387.28,False
356a5182c228d43d252f37e252c22adf,2026-08-25T02:02:00.311440+00:00,site_latency,298.49,False
2fe6d5c0cbd4008101cacf22314c3b27,2026-08-25T02:02:00.354417+00:00,checkout,278.9,False
466182e62d1a45658d983a2f944ac682,2026-08-25T02:02:00.187014+00:00,site_latency,452.95,False
f260111b8ab8a25d6781e54f853d8887,2026-08-25T02:02:00.514279+00:00,site_latency,146.73,False
1f44c67912d0d0deedce5cd0cdd1d736,2026-08-25T02:02:00.486345+00:00,site_latency,217.8,False
e662d78895e9a3ddfd4166e8431c8834,2026-08-25T02:02:00.649204+00:00,pix,103.51,False
91189c14deea25ed34a79da83ad3e443,2026-08-25T02:02:00.679726+00:00,pix,84.52,False
13269a1aa2c15a1720fe3217efef8280,2026-08-25T02:02:00.595317+00:00,site_latency,187.96,False
6b149944f134c7fdbb2a36e22827b775,2026-08-25T02:02:00.788151+00:00,api_generic,68.06,False
ed908044f3b560257aa4a1718b18732b,2026-08-25T02:02:00.736623+00:00,site_latency,198.72,False
3be26c5e3853fd6aa30e545e4032a684,2026-08-25T02:02:00.725716+00:00,site_latency,231.57,False
2a6c3b6d0764b6b49f4a6e3d9633493a,2026-08-25T02:02:00.835928+00:00,api_generic,171.83,False
65c94932e1ebc56d920519468f6ac1c3,2026-08-25T02:02:00.938376+00:00,site_latency,93.58,False
e68966593ba3ee9ad81dc1ab73ecfa6c,2026-08-25T02:02:00.884115+00:00,pix,194.16,False
4b52e70dc80f2a7f83298a4cbcfcd34c,2026-08-25T02:02:00.938201+00:00,site_latency,153.41,False
2e09b5a2be580deb517bc693cbaa4ad5,2026-08-25T02:02:01.068398+00:00,api_generic,65.99,False
266aa6027396edabbea84ca7148f4cd2,2026-08-25T02:02:01.109446+00:00,site_latency,83.04,False
8da1ab77ca3dafa5e455692c55d8d92a,2026-08-25T02:02:01.122791+00:00,pix,89.29,False
081475497957a50f5267697c18336075,2026-08-25T02:02:01.122878+00:00,site_latency,97.21,False
e4ca6a46144fb4ab2d4ced33463c3332,2026-08-25T02:02:01.124393+00:00,site_latency,107.22,False
0f4fed69b44ce497feb8451d06a30cdc,2026-08-25T02:02:01.122696+00:00,site_latency,161.42,False
6e95f8c625dd990139751cc08a57b5f7,2026-08-25T02:02:01.118815+00:00,site_latency,170.3,False
1605c397cf863225ae3ab66fec13debe,2026-08-25T02:02:01.214512+00:00,pix,120.61,False
ade05daa6486c9e79093a77ca88b943c,2026-08-25T02:02:00.973636+00:00,checkout,363.03,False
1467c3d0abf29e75766aada58d69c6f5,2026-08-25T02:02:01.287946+00:00,api_generic,57.1,False
4ff4a4556a8342c1f6b33cce64809b23,2026-08-25T02:02:01.270960+00:00,site_latency,87.13,False
19b78b7fb3487cc4bc9a3452cc635fa0,2026-08-25T02:02:01.278708+00:00,pix,80.57,False
a837c9d64eb31513720b8ba4a920aed5,2026-08-25T02:02:01.193650+00:00,site_latency,176.31,False
e8e9a5647bf7b89336910454c0dec333,2026-08-25T02:02:01.216912+00:00,site_latency,156.47,False
1a09d8d119ea0e1b49781abcf10a0088,2026-08-25T02:02:01.258334+00:00,checkout,147.02,False
68940333b5b1d78cc77098d41572ea4f,2026-08-25T02:02:01.315515+00:00,site_latency,131.03,False
95314b32911b5e907defc1cf60991221,2026-08-25T02:02:01.350156+00:00,api_generic,103.23,False
d23efa3c5211c00eb62be2d43f173c56,2026-08-25T02:02:01.251770+00:00,site_latency,215.75,False
55faf8240e2f71306ca13ad4c22ba1d1,2026-08-25T02:02:01.123822+00:00,checkout,354.2,False
750581ea5169d36345d8cf5060da1147,2026-08-25T02:02:01.389251+00:00,api_generic,89.03,False
a53822c8d698c3f353a0c1d95b825c7b,2026-08-25T02:02:01.264681+00:00,checkout,241.34,False
2232cec93179584d55d07598ec3dff21,2026-08-25T02:02:01.373097+00:00,api_generic,153.53,False
0b0fe17328ea7668a2e68d119da693d5,2026-08-25T02:02:01.462177+00:00,api_generic,70.63,False
